LocationName,Coronary heart disease among adults,Current asthma among adults,Depression among adults,Diagnosed diabetes among adults,Fair or poor self-rated health status among adults,Frequent mental distress among adults,High blood pressure among adults,No leisure-time physical activity among adults,Obesity among adults,Stroke among adults,longitude,latitude,temperature,temp_norm,Current asthma among adults_norm,Coronary heart disease among adults_norm,Diagnosed diabetes among adults_norm,Obesity among adults_norm,High blood pressure among adults_norm,Frequent mental distress among adults_norm,No leisure-time physical activity among adults_norm,heat_health_risk
4013050617,4.7,10.5,19.8,10.2,19.9,17.0,28.1,22.3,33.3,2.7,-112.6293503,33.3840036,111.5,0.9473684210526343,0.3272727272727274,0.23484848484848483,0.37226277372262767,0.6226415094339622,0.28051948051948056,0.6139240506329113,0.38521400778210113,0.47300643190811614
4013040526,14.8,9.3,14.4,18.1,21.1,8.5,55.6,24.5,26.1,6.9,-112.4432741,33.6454883,109.7,0.0,0.10909090909090935,1.0,0.9489051094890512,0.16981132075471717,0.9948051948051947,0.0759493670886076,0.47081712062256803,0.471172377731381
4013010104,11.9,9.6,15.2,15.4,18.2,9.1,49.7,20.7,25.8,5.5,-111.6804374,33.7346108,110.9,0.6315789473684253,0.1636363636363637,0.7803030303030303,0.7518248175182481,0.15094339622641526,0.8415584415584417,0.11392405063291138,0.3229571984435797,0.4695907807109269
4013061018,12.1,8.9,13.6,15.2,16.1,7.4,51.2,18.8,23.7,5.5,-112.4004935,33.4866763,111.6,1.0,0.036363636363636556,0.7954545454545454,0.7372262773722627,0.018867924528301935,0.8805194805194807,0.006329113924050667,0.24902723735408558,0.46547352693954547
4013040531,12.0,10.1,16.8,16.0,21.8,11.8,47.5,25.3,28.2,6.0,-112.3676447,33.6451281,109.7,0.0,0.25454545454545463,0.7878787878787878,0.7956204379562043,0.30188679245283023,0.7844155844155843,0.2848101265822785,0.5019455252918288,0.4638878386403711
4013050611,4.3,10.3,19.5,9.5,19.8,17.1,26.8,22.5,33.3,2.5,-112.5164544,33.3845494,111.5,0.9473684210526343,0.2909090909090912,0.2045454545454545,0.32116788321167883,0.6226415094339622,0.24675324675324675,0.620253164556962,0.3929961089494163,0.45582935992655577
4013061053,4.3,10.4,19.4,9.7,18.2,16.3,27.6,20.5,33.1,2.5,-112.4013721,33.4557236,111.6,1.0,0.3090909090909093,0.2045454545454545,0.33576642335766416,0.6100628930817612,0.26753246753246757,0.5696202531645569,0.3151750972762645,0.45147418725613475
4013040525,14.0,9.4,14.6,17.7,19.8,8.3,54.6,22.8,26.1,6.5,-112.4269715,33.6607653,109.7,0.0,0.12727272727272745,0.9393939393939393,0.9197080291970802,0.16981132075471717,0.9688311688311687,0.06329113924050639,0.40466926070038906,0.44912219817381605
4013050614,4.5,10.2,19.0,9.9,18.6,16.3,27.8,21.5,32.3,2.6,-112.5456874,33.4273116,111.5,0.9473684210526343,0.2727272727272727,0.21969696969696967,0.35036496350364965,0.559748427672956,0.2727272727272727,0.5696202531645569,0.35408560311284043,0.44329239795726905
4013061015,5.0,10.1,18.2,10.5,17.9,15.1,29.7,20.8,31.2,2.8,-112.3316542,33.4723401,111.6,1.0,0.25454545454545463,0.25757575757575757,0.39416058394160586,0.49056603773584917,0.322077922077922,0.49367088607594933,0.32684824902723736,0.442430611372472
4013040506,13.4,9.5,14.8,17.0,19.6,8.8,53.5,23.0,26.3,6.4,-112.3366887,33.6577414,109.7,0.0,0.1454545454545456,0.8939393939393939,0.8686131386861313,0.1823899371069184,0.9402597402597404,0.09493670886075954,0.4124513618677042,0.44225560327189917
4013040507,14.6,9.2,13.9,17.1,20.8,8.3,54.8,24.7,24.5,7.0,-112.362634,33.6569045,109.7,0.0,0.09090909090909091,0.9848484848484848,0.8759124087591241,0.06918238993710701,0.974025974025974,0.06329113924050639,0.4785992217898832,0.4420960886887713
